"staff_id","name","gender","rank","position","hotel_id","original_salary","absent days","final_salary"
"1","Aaron Alkins","Male","officer","region manager","1","20000","0","20000"
"2","Abbott All","Male","expert","manager","1","18000","0","18000"
"3","Abel Allam","Male","expert","staff","1","16000","3","16000"
"4","Abner Allan","Male","senior","staff","1","10000","1","10000"
"5","Abraham Allanson","Male","senior","staff","1","10000","4","9500"
"6","Ada Abbe","Female","senior","staff","1","8000","3","8000"
"7","Adah Abbett","Female","senior","manager","1","16000","2","16000"
"8","Adam Allard","Male","senior","staff","1","10000","2","10000"
"9","Addison Allcock","Male","senior","staff","1","10000","1","10000"
"10","Addyson Abbey","Female","senior","staff","1","10000","0","10000"
"11","Adela Abbitt","Female","senior","staff","2","10000","0","10000"
"12","Adele Abbot","Female","assistant","staff","2","10000","30","0"
"13","Adelina Abbott","Female","assistant","staff","2","10000","20","1500"
"14","Adeline Abbs","Female","assistant","staff","2","10000","0","10000"
"15","Adelle Abby","Female","assistant","staff","2","10000","0","10000"
"16","Adilene Abdon","Female","assistant","staff","2","10000","0","10000"
"17","Adler Allcorn","Male","assistant","staff","2","10000","0","10000"
"18","Adley Allday","Male","officer","manager","2","10000","0","10000"
"19","Adria Able","Female","expert","staff","2","10000","0","10000"
"20","Adrian, Adrien Allee","Male","expert","manager","3","10000","0","10000"
"21","Adriane Abner","Female","expert","staff","3","10000","0","10000"
"22","Adrianne Abney","Female","senior","staff","3","10000","1","10000"
"23","Adrien Aborn","Female","senior","staff","3","10000","3","10000"
"24","Adriene Abrahams","Female","senior","staff","3","10000","0","10000"
"25","Adrina Abram","Female","senior","staff","3","10000","0","10000"
"26","Adyson Abrams","Female","assistant","staff","3","10000","0","10000"
"27","Aedan, Aiden Allen","Male","officer","region manager","3","10000","0","10000"
"28","Afton Abramson","Female","expert","manager","3","10000","0","10000"
"29","Agate Ace","Female","expert","staff","3","10000","0","10000"
"30","Aida Acey","Female","senior","staff","3","10000","0","10000"
"31","Aiken Allender","Male","senior","staff","3","10000","0","10000"
"32","Airiana Acker","Female","senior","staff","3","10000","0","10000"
"33","Alan, Allan Allenson","Male","senior","staff","3","10000","2","10000"
"34","Alastair Allerton","Male","senior","manager","3","10000","0","10000"
"35","Albern Alles","Male","senior","staff","3","10000","0","10000"
"36","Albert Alley","Male","senior","staff","3","10000","0","10000"
"37","Alberta Ackerley","Female","senior","staff","3","10000","0","10000"
"38","Albion Alleyne","Male","assistant","staff","3","10000","2","10000"
"39","Alden Allford","Male","assistant","staff","3","10000","0","10000"
"40","Aldis Allgood","Male","assistant","staff","4","10000","0","10000"
"41","Aldora Ackerly","Female","assistant","staff","4","10000","0","10000"
"42","Aldrich Allie","Male","assistant","staff","4","10000","0","10000"
"43","Alexander Alligood","Male","assistant","staff","4","10000","0","10000"
"44","Alfie Allin","Male","officer","region manager","4","10000","0","10000"
"45","Alfred Alling","Male","expert","staff","4","10000","3","10000"
"46","Alfreda Ackerman","Female","expert","manager","4","10000","0","10000"
"47","Algernon Allingham","Male","expert","staff","4","10000","0","10000"
"48","Alice Ackers","Female","senior","staff","4","10000","0","10000"
"49","Alicen Ackert","Female","senior","manager","4","10000","0","10000"
"50","Alicia Ackland","Female","senior","staff","4","10000","0","10000"
"51","Alicja Ackley","Female","senior","staff","4","10000","0","10000"
"52","Alicyn Acklin","Female","assistant","staff","4","10000","0","10000"
"53","Alina Ackroyd","Female","officer","region manager","4","10000","0","10000"
"54","Alisha Acock","Female","expert","manager","4","10000","1","10000"
"55","Alishia Acomb","Female","expert","manager","4","10000","0","10000"
"56","Alisia Acors","Female","senior","staff","4","10000","1","10000"
"57","Alison Acre","Female","senior","staff","4","10000","1","10000"
"58","Alisyn Acreman","Female","senior","staff","4","10000","0","10000"
"59","Allicia Acres","Female","senior","staff","4","10000","0","10000"
"60","Allisha Acton","Female","senior","staff","4","10000","2","10000"
"61","Allison Acuff","Female","senior","staff","4","10000","2","10000"
"62","Allisyn Acy","Female","senior","staff","4","10000","3","10000"
"63","Allysen Adams","Female","senior","staff","5","10000","3","10000"
"64","Allyson Adcock","Female","assistant","staff","5","10000","3","10000"
"65","Alodie Adcox","Female","assistant","staff","5","10000","3","10000"
"66","Alonsa Addams","Female","assistant","staff","5","10000","3","10000"
"67","Alonza Adderley","Female","assistant","staff","5","10000","3","10000"
"68","Alston Allington","Male","assistant","staff","5","10000","3","10000"
"69","Alton Allinson","Male","assistant","staff","5","10000","3","10000"
"70","Alvin Allis","Male","officer","region manager","5","10000","3","10000"
"71","Alvina Adderly","Female","expert","staff","5","10000","3","10000"
"72","Alyna Addicott","Female","expert","manager","5","10000","3","10000"
"73","Alyshia Addington","Female","expert","staff","5","10000","3","10000"
"74","Alyson Addis","Female","senior","staff","5","10000","3","10000"
"75","Ambrose Allison","Male","senior","staff","5","10000","3","10000"
"76","Amery Alliston","Male","senior","staff","5","10000","3","10000"
"77","Amos Allman","Male","senior","staff","5","10000","3","10000"
"78","Amy Addison","Female","assistant","staff","5","10000","3","10000"
"79","Anabel Addy","Female","officer","region manager","5","10000","3","10000"
"80","Anabelle Ade","Female","expert","staff","5","10000","3","10000"
"81","Andrew Allmand","Male","expert","manager","5","10000","3","10000"
"82","Angus Allmond","Male","senior","staff","5","10000","3","10000"
"83","Ansel Allnutt","Male","senior","staff","5","10000","3","10000"
"84","Anthony Alloway","Male","senior","staff","6","10000","3","10000"
"85","Archer Allport","Male","senior","staff","6","10000","3","10000"
"86","Archibald Allread","Male","senior","staff","6","10000","3","10000"
"87","Arlen Allred","Male","senior","staff","6","10000","3","10000"
"88","Arnold Alls","Male","senior","staff","6","10000","3","10000"
"89","Arthur, Art Allsbrook","Male","senior","staff","6","10000","3","10000"
"90","Arvel Allsop","Male","assistant","staff","6","10000","3","10000"
"91","Atwater Allsopp","Male","assistant","staff","6","10000","3","10000"
"92","Atwood Allston","Male","assistant","staff","6","10000","3","10000"
"93","Aubrey Allsup","Male","assistant","staff","6","10000","3","10000"
"94","Audey Adee","Female","assistant","staff","6","10000","3","10000"
"95","Audreanne Ades","Female","assistant","staff","6","10000","3","10000"
"96","Audree Adey","Female","officer","region manager","6","10000","3","10000"
"97","Audrey Adgate","Female","expert","staff","6","10000","3","10000"
"98","Audrey Ann Adkins","Female","expert","staff","6","10000","3","10000"
"99","Audrey Anne Adkinson","Female","expert","staff","6","10000","3","10000"
"100","Audrey Maud Adley","Female","senior","staff","6","10000","3","10000"
"101","Audrey Maude Adney","Female","senior","staff","6","10000","3","10000"
"102","Audriana Adrian","Female","senior","staff","6","10000","3","10000"
"103","Audrianna Aduddell","Female","senior","staff","6","10000","3","10000"
"104","Audrie Adwell","Female","assistant","staff","6","10000","3","10000"
"105","Audrina Ady","Female","assistant","staff","6","10000","3","10000"
"106","Audry Afton","Female","officer","region manager","6","10000","3","10000"
"107","Austin Allton","Male","expert","manager","6","10000","3","10000"
"108","Avaline Agar","Female","expert","staff","6","10000","3","10000"
"109","Averi Agard","Female","expert","manager","6","10000","3","10000"
"110","Averie Agate","Female","senior","staff","6","10000","3","10000"
"111","Avery Alltop","Male","senior","staff","6","10000","3","10000"
"112","Axel Allum","Male","senior","staff","6","10000","3","10000"
"113","Aysia Age","Female","senior","staff","6","10000","3","10000"
"114","Bailee Ager","Female","assistant","staff","6","10000","3","10000"
"115","Baileigh Agers","Female","officer","region manager","6","10000","3","10000"
"116","Bailey Aguillard","Female","expert","staff","6","10000","3","10000"
"117","Baili Ailes","Female","expert","staff","6","10000","3","10000"
"118","Baily Ainley","Female","senior","manager","6","10000","3","10000"
"119","Baird Allums","Male","senior","staff","6","10000","3","10000"
"120","Baldwin Allwood","Male","senior","staff","6","10000","3","10000"
"121","Baleigh Ainsley","Female","senior","staff","7","10000","3","10000"
"122","Barclay Ally","Male","senior","manager","7","10000","3","10000"
"123","Barnaby Allyn","Male","senior","staff","7","10000","3","10000"
"124","Baron Alman","Male","assistant","staff","7","10000","3","10000"
"125","Barrett Almond","Male","assistant","staff","7","10000","3","10000"
"126","Barry Almy","Male","assistant","staff","7","10000","3","10000"
"127","Bartholomew Alred","Male","assistant","staff","7","10000","3","10000"
"128","Basil Alridge","Male","assistant","staff","7","10000","3","10000"
"129","Benedict Alsbrook","Male","assistant","staff","7","10000","3","10000"
"130","Benjamin Alsbury","Male","officer","region manager","7","10000","3","10000"
"131","Benton Alsip","Male","expert","staff","7","10000","3","10000"
"132","Bernard Alsobrook","Male","expert","manager","7","10000","3","10000"
"133","Bert Alsop","Male","expert","staff","7","10000","3","10000"
"134","Bevis Alston","Male","senior","staff","7","10000","3","10000"
"135","Blaine Alsup","Male","senior","staff","7","10000","3","10000"
"136","Blair Alton","Male","senior","staff","7","10000","3","10000"
"137","Blake Alvey","Male","senior","staff","7","10000","3","10000"
"138","Bond Alvin","Male","assistant","staff","7","10000","3","10000"
"139","Boris Alvis","Male","officer","region manager","7","10000","3","10000"
"140","Bowen Alvord","Male","expert","manager","7","10000","3","10000"
"141","Braden Alward","Male","expert","staff","7","10000","3","10000"
"142","Bradley Alway","Male","senior","manager","7","10000","3","10000"
"143","Brandan, Brendan, Brendon Alwin","Male","senior","staff","7","10000","3","10000"
"144","Brent Alwood","Male","senior","staff","8","10000","3","10000"
"145","Bret, Brett Alworth","Male","senior","staff","8","10000","3","10000"
"146","Brian Amason","Male","senior","staff","8","10000","3","10000"
"147","Brice Amber","Male","senior","staff","8","10000","3","10000"
"148","Brigham Amberson","Male","senior","staff","8","10000","3","10000"
"149","Brock Ambler","Male","senior","staff","8","10000","3","10000"
"150","Broderick Ambrose","Male","assistant","staff","8","10000","3","10000"
"151","Brooke Ament","Male","assistant","staff","8","10000","3","10000"
"152","Bruce Amerson","Male","assistant","staff","8","10000","3","10000"
"153","Bruno Ames","Male","assistant","staff","8","10000","3","10000"
"154","Bryant Amesbury","Male","assistant","staff","8","10000","3","10000"
"155","Buck Amey","Male","assistant","staff","8","10000","3","10000"
"156","Bud Amis","Male","officer","region manager","8","10000","3","10000"
"157","Burgess Amison","Male","expert","manager","8","10000","3","10000"
"158","Burton Ammon","Male","expert","staff","8","10000","3","10000"
"159","Byron Amond","Male","expert","staff","8","10000","3","10000"
"160","Cadman Amor","Male","senior","staff","8","10000","3","10000"
"161","Caldwell Amos","Male","senior","staff","8","10000","3","10000"
"162","Caleb Amsden","Male","senior","staff","8","10000","3","10000"
"163","Calvert Amory","Male","senior","staff","8","10000","3","10000"
"164","Calvin Anable","Male","assistant","staff","8","10000","3","10000"
"165","Carl Anchors","Male","officer","region manager","8","10000","3","10000"
"166","Carlton Anctil","Male","expert","manager","8","10000","3","10000"
"167","Carney Anderson","Male","expert","staff","8","10000","3","10000"
"168","Carrick Ancell","Male","senior","staff","8","10000","3","10000"
"169","Carroll Anderton","Male","senior","staff","8","10000","3","10000"
"170","Carter Andrew","Male","senior","staff","8","10000","3","10000"
"171","Carver Andrews","Male","senior","staff","8","10000","3","10000"
"172","Cary Andros","Male","senior","staff","8","10000","3","10000"
"173","Casey Andrus","Male","senior","staff","8","10000","3","10000"
"174","Casper Andry","Male","senior","staff","8","10000","3","10000"
"175","Cecil Aney","Male","senior","staff","8","10000","3","10000"
"176","Cedric Angel","Male","assistant","staff","8","10000","3","10000"
"177","Chad, Chadwick Anger","Male","assistant","staff","8","10000","3","10000"
"178","Chalmers Angers","Male","assistant","staff","8","10000","3","10000"
"179","Chandler Angevine","Male","assistant","staff","8","10000","3","10000"
"180","Channing Angier","Male","assistant","staff","9","10000","3","10000"
"181","Chapman Angle","Male","assistant","staff","9","10000","3","10000"
"182","Charles Angleton","Male","officer","region manager","9","10000","3","10000"
"183","Chatwin Angley","Male","expert","manager","9","10000","3","10000"
"184","Chester Anguish","Male","expert","staff","9","10000","3","10000"
"185","Christian Angwin","Male","expert","staff","9","10000","3","10000"
"186","Christopher Anker","Male","senior","staff","9","10000","3","10000"
"187","Clarence Ann","Male","senior","staff","9","10000","3","10000"
"188","Claude Annable","Male","senior","staff","9","10000","3","10000"
"189","Clayton, Clay Annand","Male","senior","staff","9","10000","3","10000"
"190","Clifford, Cliff Annas","Male","assistant","staff","9","10000","3","10000"
"191","Clive Anne","Male","officer","region manager","9","10000","3","10000"
"192","Clyde Annear","Male","expert","staff","9","10000","3","10000"
"193","Coleman Anness","Male","expert","manager","9","10000","3","10000"
"194","Colin Annis","Male","senior","staff","9","10000","3","10000"
"195","Collier Ansel","Male","senior","staff","9","10000","3","10000"
"196","Conan Ansell","Male","senior","staff","9","10000","3","10000"
"197","Connell Anselm","Male","senior","manager","9","10000","3","10000"
"198","Connor Ansley","Male","senior","staff","9","10000","3","10000"
"199","Conrad Anslow","Male","senior","staff","9","10000","3","10000"
"200","Conroy Anson","Male","senior","staff","9","10000","3","10000"
"201","Conway Anstead","Male","senior","staff","9","10000","3","10000"
"202","Corwin Ansted","Male","assistant","staff","10","10000","3","10000"
"203","Craig Antley","Male","assistant","staff","10","10000","3","10000"
"204","Crispin Anstey","Male","assistant","staff","10","10000","3","10000"
"205","Crosby Antcliff","Male","assistant","staff","10","10000","3","10000"
"206","Culbert Antell","Male","assistant","staff","10","10000","3","10000"
"207","Culver Anthony","Male","assistant","staff","10","10000","3","10000"
"208","Curt Antil","Male","officer","region manager","10","10000","3","10000"
"209","Curtis Antill","Male","expert","staff","10","10000","3","10000"
"210","Cuthbert Antle","Male","expert","staff","10","10000","3","10000"
"211","Cyril Antrobus","Male","expert","manager","10","10000","3","10000"
"212","Ellie Ainslie","Female","senior","staff","10","10000","3","10000"
"213","Ellisa Ainsworth","Female","senior","staff","10","10000","3","10000"
"214","Ellison Airey","Female","senior","staff","10","10000","3","10000"
"215","Elly Airington","Female","senior","manager","10","10000","3","10000"
"216","Ellyn Aiton","Female","assistant","staff","10","10000","3","10000"
"217","Elmina Ake","Female","officer","region manager","10","10000","3","10000"
"218","Elodie Akehurst","Female","expert","staff","10","10000","3","10000"
"219","Elva Akeley","Female","expert","manager","10","10000","3","10000"
"220","Elvia Akerley","Female","senior","staff","10","10000","3","10000"
"221","Elvie Akers","Female","senior","staff","10","10000","3","10000"
"222","Elvina Akes","Female","senior","staff","10","10000","3","10000"
"223","Elysa Akey","Female","senior","staff","10","10000","3","10000"
"224","Elyse Akin","Female","senior","staff","11","10000","3","10000"
"225","Elyssa Alan","Female","senior","manager","11","10000","3","10000"
"226","Emilee Alban","Female","senior","staff","11","10000","3","10000"
"227","Emileigh Albany","Female","senior","staff","11","10000","3","10000"
"228","Emiley Albert","Female","assistant","staff","11","10000","3","10000"
"229","Emili Alberts","Female","assistant","staff","11","10000","3","10000"
"230","Emilie Albin","Female","assistant","staff","11","10000","3","10000"
"231","Emilly Alborn","Female","officer","region manager","11","10000","3","10000"
"232","Emily Albright","Female","expert","manager","11","10000","3","10000"
"233","Emma Albro","Female","expert","staff","11","10000","3","10000"
"234","Emmily Albury","Female","expert","staff","11","10000","3","10000"
"235","Enchantra Alcock","Female","senior","staff","12","10000","3","10000"
"236","Eppie Alcott","Female","senior","staff","12","10000","3","10000"
"237","Kendal Alday","Female","senior","staff","12","10000","3","10000"
"238","Kendall Alden","Female","senior","staff","12","10000","3","10000"
"239","Kendra Alder","Female","assistant","staff","12","10000","3","10000"
"240","Kendria Alderman","Female","officer","region manager","12","10000","3","10000"
"241","Kendyl Alders","Female","expert","manager","12","10000","3","10000"
"242","Kendyll Alderson","Female","expert","staff","12","10000","3","10000"
"243","Kenenza Alderton","Female","senior","staff","12","10000","3","10000"
"244","Kenise Aldis","Female","senior","staff","12","10000","3","10000"
"245","Khimberly Aldous","Female","senior","staff","12","10000","3","10000"
"246","Kim Aldred","Female","senior","staff","12","10000","3","10000"
"247","Kimbalee Aldredge","Female","senior","staff","12","10000","3","10000"
"248","Kimber Aldrich","Female","senior","staff","12","10000","3","10000"
"249","Kimberlee Aldridge","Female","senior","staff","12","10000","3","10000"
"250","Kimberley Ale","Female","senior","staff","12","10000","3","10000"
"251","Kimberli Aleck","Female","assistant","staff","12","10000","3","10000"
"252","Kimberlie Alewine","Female","assistant","staff","13","10000","3","10000"
"253","Kimberlin Alexander","Female","assistant","staff","13","10000","3","10000"
"254","Kimberly Aley","Female","expert","staff","13","10000","3","10000"
"255","Kimberlyn Alford","Female","expert","manager","13","10000","3","10000"
"256","Kimberlynn Alfred","Female","senior","staff","13","10000","3","10000"
"257","Kimmie Alfrey","Female","senior","staff","13","10000","3","10000"
"258","Kimmy Alger","Female","senior","staff","13","10000","3","10000"
"259","Kindra Algood","Female","senior","staff","13","10000","3","10000"
"260","Kinsey Aliff","Female","senior","staff","13","10000","3","10000"
"261","Kinzie Alison","Female","senior","staff","13","10000","3","10000"
"262","Maddox Apland","Male","senior","staff","13","10000","3","10000"
"263","Magnus Apley","Male","senior","staff","13","10000","3","10000"
"264","Malcolm Aplin","Male","assistant","staff","13","10000","3","10000"
"265","Marcus Apple","Male","assistant","staff","13","10000","3","10000"
"266","Mark, Marc Applebee","Male","assistant","staff","13","10000","3","10000"
"267","Marlon Appleberry","Male","expert","staff","13","10000","3","10000"
"268","Martin Appleby","Male","expert","staff","13","10000","3","10000"
"269","Marvin Applegarth","Male","senior","staff","13","10000","3","10000"
"270","Matthew Applegate","Male","senior","staff","13","10000","3","10000"
"271","Maurice Appleton","Male","senior","staff","13","10000","3","10000"
"272","Max, Maxwell Applewhite","Male","senior","staff","13","10000","3","10000"
"273","Medwin Appley","Male","senior","staff","13","10000","3","10000"
"274","Melville Appleyard","Male","senior","staff","14","10000","3","10000"
"275","Melvin Apling","Male","senior","staff","14","10000","3","10000"
"276","Merlin Applin","Male","senior","manager","14","10000","3","10000"
"277","Michael Appling","Male","assistant","staff","14","10000","3","10000"
"278","Milburn Apps","Male","assistant","staff","14","10000","3","10000"
"279","Miles Apsey","Male","assistant","staff","14","10000","3","10000"
"280","Monroe Arber","Male","expert","manager","14","10000","3","10000"
"281","Montague Arbon","Male","expert","staff","14","10000","3","10000"
"282","Montgomery Arch","Male","senior","staff","14","10000","3","10000"
